id,saleprice
2658,105349.9997055608
2718,162132.30807535668
2414,206996.03564470907
1989,115784.95959519548
625,202937.92476687813
333,76021.42932670072
1327,109077.01331653529
858,138915.24355763453
95,169590.35731517815
1568,187671.0163551186
2482,118139.21385450303
1364,121578.94463756477
2584,146599.98065830104
818,314404.99725345836
2673,150798.8881125878
2089,135391.7604916849
1297,148295.50251320505
790,114093.4166318884
2616,217745.60618139937
720,185770.5858690029
222,154856.11813106018
557,131652.83064499317
1148,152193.22624620498
2766,173646.92086128582
534,184172.46049175857
1452,105595.9727541004
630,135225.04946466302
2648,98049.54674474153
125,149721.6375007882
1904,61130.66712383088
1670,95994.57337821586
756,98274.20441035123
717,237079.63063903069
1032,160840.42996890005
852,219708.27998493824
1731,179259.06232298433
2639,98603.92404564106
2071,85854.45547978813
1267,119277.69753260026
1851,216686.69624740523
567,148255.60383582275
2439,207292.26220520644
1898,155006.13799110535
647,181594.53781185075
2256,202648.80602453067
979,100974.34560583561
1444,223587.7055939623
2485,124915.1818481181
157,134142.46980490058
88,130783.74282702418
2003,87377.05214140197
186,200620.13062561856
1425,243601.27492807017
2695,114132.86374327558
738,112529.40576625548
395,159947.085241345
1353,182714.01141164388
1878,151619.79119279858
390,163594.34637573556
1456,236178.60554161418
1103,315751.00501691253
1387,116726.30159898687
2070,166955.00575765534
1199,167328.76398768532
2479,162120.97191773803
501,321738.7747758903
2362,88467.66803679214
1718,220315.81764473522
2188,69287.6258243043
1483,132641.1391234275
2557,87234.98591072991
437,360385.3353513685
2224,251484.68068443637
1628,177673.36406753946
397,148383.5798601738
587,201513.82908064258
971,172079.9349462907
2611,147634.63985227415
1887,105512.85163028489
2399,358755.1228157075
2148,211903.03169869012
304,112577.39515787674
1997,117183.61178283642
2817,136299.7033911541
1431,213453.3355720983
427,344837.1184626136
263,126562.70900007096
598,183436.39485692623
2895,273440.5828512538
687,149129.09374314308
1822,132813.83818145518
2191,78348.8367164483
179,124299.68612413383
1009,268892.9361886973
2010,125201.36220188659
1991,149927.2770387998
1411,156386.35857830668
1721,252466.3008150095
1144,191722.37444719422
593,213494.92140586153
575,298425.6653653998
1249,191900.96624457926
1604,130994.1706449358
1064,351270.0994629876
1923,155140.42547935847
1988,103074.6413966727
2325,168309.73374133604
114,195637.5125596735
